label,score,text
negative,0.56186443567276,I soft spot Chelsea fans go talk much win
neutral,0.7984064817428589,Real Madrid never vs Chelsea home 3 games 2 wins 1 draw httpstcojA55GxVAlI
neutral,0.7415664792060852,CFCJanty IconicBlanco Chelsea 05Correct score Madrid 4 0 Chelsea
neutral,0.576320469379425,teemourinho Just follow owner Chelsea prediction Chelsea 30 Madrid But stake house rent abeg I fit see half money
neutral,0.7968202233314514,ArewaFinext Ithink real madrid 3 chelsea 1
neutral,0.7382249236106873,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive rte12
negative,0.5237798094749451,Chelsea going beat Real Madrid arent
neutral,0.884071409702301,Bet9jaOfficial Real Madrid 31 Chelsea Id 6777143
neutral,0.7621464729309082,teemourinho Real Madrid 3 Chelsea 1
positive,0.45636507868766785,stealherdinero BusstyChelsea bmarci0306 rbnsm7 CFCDUBois UTDTrey Na banter Its football uno anything happen We seen lot Seriously football hard predict So true banter remains untouched So fair
neutral,0.8958170413970947,CryptoDiva Madrid 0 vs Chelsea 1 ornamentisback FinetMobile Dahkode teslinkmedia
neutral,0.8686012625694275,NBCSportsSoccer Chelsea vs Brighton Im
neutral,0.4863360822200775,Chelsea fans drop blue heart follow everyone
neutral,0.4583195447921753,MysteryJKing 10 chelsea im takin risks
neutral,0.4315624535083771,BettKMax Hii nikama ndoto I surprised give Chelsea real Madrid home dying half time medical team field 2 odd
neutral,0.8721802830696106,DedGigabyte Real Madrid 21 Chelsea
positive,0.4817785620689392,44Jackk What CL football Chelsea
neutral,0.7783768177032471,OMOYORUBA0 AsiwajuLerry Real Madrid 4 Chelsea 1
neutral,0.614848792552948,Im making promise Chelsea winning icl
neutral,0.7979749441146851,Chelsea putting 8 defensive players two strikers
positive,0.7329683303833008,Chelseas winning
neutral,0.7641260027885437,CFCDaily Perez giving us Stadium miniature gave Chelsea pen
neutral,0.7476445436477661,Madrid 1 vs 2 Chelsea James score late winner
neutral,0.6011002063751221,CHELSEA NIGHT GAINS No Chelsea fans account less 4k kindly RT drop follow everyone likes reply httpstcoxy8FM6ckm8
positive,0.8153654932975769,For first time season I feel ease confident chelsea going pull surprise
negative,0.4298853874206543,rayenrdi2 WAllah brugges bat Chelsea
positive,0.8570133447647095,I really like Chelsea lineup man I really really like
neutral,0.5506819486618042,teemourinho 20 Chelsea wins
neutral,0.8462326526641846,Real Madrid vs Chelsea Full Match Live Stream LIVE WATCH httpstcoigiL7xrqwV UCL RealMadrid Chelsea MatchdayLive RMACHE httpstco5c9woa2Ro5
neutral,0.7747180461883545,Watch Real Madrid vs Chelsea Live Streams On Free httpstcoAF9Pbg8Opj Follow httpstcoAF9Pbg8Opj UEFA Champions League 2023 Quarter Finals AC Milan vs Nap Napoli vs AC Milan UCL RealMadrid ChelseaFC acmilankit httpstcoDa7HJmKiFg
neutral,0.7726173400878906,Real Madrid vs Chelsea Live Stream Pred Chelsea vs Real Madrid 03 Karim Benzema x2 Vinicius jr x1 httpstco94jEvF6yVw RealMadrid ChampionsLeague UCL uefachampionsleague ChelseaFC rmacfc HalaMadrid
neutral,0.4239707887172699,In 202021 Chelsea knocked Real Madrid way winning Champions League In 202122 Real Madrid knocked Chelsea way winning Champions League We could watching years UCL winners tonight
neutral,0.5011196136474609,Come chelsea
negative,0.5536249876022339,Make I go watch Chelsea vs Real Madrid Miracle dey tire Jesus
neutral,0.42719215154647827,CFCMod This line better one played last two SZNs The cant said Real Madrid amp beat Chelsea one time 4 James Sterling amp Chilwell sub toddboehly
positive,0.7075021266937256,Cmon Chelsea cmon frank baby
negative,0.89998459815979,NAH HOW DO THESE GUYS EVEN HAVE AN OUNCE OF FEAR IN THEM Lads Chelsea come httpstcoOmnnryIDuR
positive,0.6429494023323059,ChelseaFC What team selection I hope good game Chelsea loosing
neutral,0.562558114528656,No Chelsea player starts Madrid lol httpstcoLetG664Lp8
negative,0.36071306467056274,SEXHAU5TED Eek Then maybe I started watching PL right time The whole roller coaster emotions changes We shall see Too bad I didnt watch games Chelsea top
neutral,0.5624138116836548,ImLynus Opuwo lineup Chelsea mud
neutral,0.796451985836029,bangslots realmadrid ChelseaFC MADRID 30 CHELSEA UCLxWINLIVE4D
neutral,0.7244622111320496,HeatCheque4472 CeeDeePlsTD BetterCallRaui For Chelsea win need Kante Enzo timer tbh
neutral,0.5287714004516602,Mayorspeaks Chelsea qualify thats I know
negative,0.8810547590255737,CFCJanty Martin2n04pxc3d Chelsea still gave us worst scare last year Then City
positive,0.5947699546813965,ChelseaFC 21 Chelsea win insha Allah
neutral,0.819671094417572,PoojaMedia Chelsea win 20
neutral,0.8104236125946045,greenlandodds Real Madrid 0 1 Chelsea
neutral,0.7631116509437561,Chelsea midfield httpstcoTm3pQ6CBjZ
neutral,0.7703588604927063,Ligue des Champions Quarts de finale aller Live httpstco4hpRiaavfs 20h00 Real Madrid Chelsea 20h00 AC Milan Naples RealMadrid Chelsea ACMilan Naples uefachampionsleague ChampionsLeague UEFA Kawarji httpstcoVa0I2jZdlt
neutral,0.5074408650398254,Pray pray chelsea fans httpstco4fah1HAMLF
neutral,0.8801418542861938,STANDARD Real Madrid vs Chelsea LIVE Champions League match stream latest team news lineups TV prediction today Real Madrid vs Chelsea LIVE httpstcoGber81BE6I
negative,0.38954493403434753,People really undermining Chelsea side Its gonna easy Need get hold kante kova
neutral,0.8416996598243713,Pavel2001FCB Pre show real madrid chelsea
neutral,0.4419676661491394,Scenes Chelsea team beats Madrid 3 1 Internet go scatter
neutral,0.8267883062362671,Chelsea line httpstcoOS7pZlfo0J
negative,0.809454619884491,Im eating spag meant two people rn Its crime watch Chelsea empty stomach httpstcoUpsYaMBWum
neutral,0.730446994304657,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive rte
positive,0.6774482131004333,NicoRodrigo05 Yeah 20 generous I feel like Chelsea surprise us
positive,0.7032343149185181,UCL night continues It Chelsea hosting Spanish giants Hala Madrid Interesting clash
neutral,0.7911962270736694,LIVE NOW REAL MADRID vs CHELSEA AdamMcKola Chelsearory amp lawrencebury JOIN US httpstcoHFQySuNuYo httpstco9dGmaIP1iQ
neutral,0.7785680294036865,LIVE STREAM HD RMACHE Real Madrid vs Chelsea Stream Here httpstcowcnLLb4nhO Kindly Like amp Retweet httpstcoUoKFEgZHQh
neutral,0.3782109022140503,Nervous excited edge Every Chelsea fan tonight come blues KTBFFH
negative,0.46543315052986145,Chelsea fit shock people
neutral,0.816605269908905,greenlandodds Real Madrid 12 Chelsea
neutral,0.8353158831596375,Real Madrid vs Chelsea Live Link LIVE WATCH httpstcoigiL7xrqwV UCL RealMadrid Chelsea MatchdayLive RMACHE httpstcoUyyibeW2jY
neutral,0.83846116065979,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f kll
neutral,0.8041491508483887,Confirmed matches today Real Madrid vs ChelseaLive Stream HD Milan vs Napoli Link httpstco1bUwt2J8Rl Follow Fctvlive stream update Please retweet follow RMACHE RealMadrid CFC UCL httpstcozRy2Qdmi6O
neutral,0.7056097388267517,gyaigyimii Madrid 02 Chelsea
neutral,0.7235383987426758,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive drte
positive,0.3989953398704529,sigmarshanks Chelsea fans talking alot smack united fans 70 loss liverpool I want atleast 8 Madrid
neutral,0.8410458564758301,REAL MADRID vs CHELSEA LINEUP httpstcoOWJs2gQTA6
neutral,0.5493927597999573,teemourinho Chelsea win fofana score
neutral,0.8297361135482788,GhanaYesu Madrid 2 Chelsea 1 My No0202699846
neutral,0.8487685322761536,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f 67h
negative,0.4197152256965637,If chelsea win im shaving hair
neutral,0.5647640228271484,vjyungprince Im Chelsea fan I knw coming tonight
negative,0.49784278869628906,doyintoyinbo Oga leave politics talk Chelsea
negative,0.7950975894927979,MurphyLala1 onebigdaddy That boy shite play position hes striker And Chelsea dont play natural strength
negative,0.8512054681777954,Naaa Ive got zero interest super frank amp chelsea getting smashed Madrid Bring Italian head head RMACHE ACMNAP ucl
neutral,0.6540559530258179,Live Stream UEFA Champions League UCL Real Madrid Chelsea Joyful IPTV extralife sportbet metal serioussupport talonpremiersecurity afceast quebecheathtips oneteamcommitted amici22 ramona hsfootball gtvskkr j couple 17live news httpstcob693azaPAA
neutral,0.7676407098770142,Elegance19 Real Madrid 22 Chelsea
neutral,0.8564826846122742,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f 23
neutral,0.831792950630188,SomtoPunta Real madrid 40 Chelsea
positive,0.45281749963760376,halamodrics thiago silva spent time away got better chelsea going play us
neutral,0.853046715259552,Match Real Madrid vs Chelsea live stream httpstcoQb9wqIOM0A httpstcoMLUEgxlLol
neutral,0.5155673623085022,abeebAO Oh Alright I wont write Chelsea champion league easily though
positive,0.586754322052002,CfcSheikh ChelseaFC Nice see God taking time allowing Cancer Aids famine poverty happen watch influence Chelsea game
neutral,0.8852145075798035,2x Brighton H MH upper Singles Available Chelseaspares CFCTickets4Sale ChelseaResale cfcspare ChelseaSpares2
neutral,0.7950348854064941,Chelsea people tomorrow testing Benzema waters httpstcoZzDAbmecZG
neutral,0.8269190788269043,Chelsea football club httpstco6kwivhAkij
neutral,0.7134823799133301,Madrid 20 Chelsea
neutral,0.8764998912811279,Whats say Chelseas lineup Vs Real Madrid httpstcoKvwA9FBMPZ
positive,0.5986584424972534,Fuck knows fancy Chelsea sneak win tonight
neutral,0.4309674799442291,28ocIock trust youll hear click clack Chelsea boots gonna pro bono hes seen much
neutral,0.8196953535079956,PabOdds Madrid 3 0 Chelsea
neutral,0.6693318486213684,ManlikeDika Real Madrid 11 Chelsea Joao Felix score first
neutral,0.7987185716629028,greenlandodds Real Madrid 1 Chelsea 0
positive,0.5807243585586548,Today Chelsea survive
neutral,0.721933126449585,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive dwe
neutral,0.8418884873390198,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f pop
neutral,0.6705232262611389,cfc fans already singing one Thiago Silva httpstcoowcLrD5NX2
neutral,0.5296921730041504,chelsea go hold 4 2 vini 2 big benz
positive,0.43454766273498535,MirLikesBeer mycousinvinny94 Yea I agree Chelsea side probably little better certainly cost much assemble lol Only reason Id say Chelseas win impressive cause beat atletico Real us win You guys porto benfica either napAC
neutral,0.7869846820831299,Adaezemichael httpstcokRLLHjYStD 1 Chelsea 1
positive,0.5055513978004456,PenguinOfTroy Kwame love Micah Chelsea love Chelsea
neutral,0.8620306253433228,kilundeezy PrimeEdition Real 41 Chelsea
neutral,0.8495072722434998,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f
neutral,0.838278591632843,TipsterDaebreak 31 Chelsea
neutral,0.5802110433578491,UTDTrey realmadriden Because Chelsea get UCL
negative,0.7997918725013733,DonKingthe2nd Chelsea players Im confused
negative,0.5623281002044678,It end tears Chelsea focus taraweeh
neutral,0.9144563674926758,Chelsea starting lineup httpstcoIu1pFi19IB
positive,0.6403516530990601,ChelseaFC Lets Go Chelsea Positive Result tonight May I remind last season guys lost 31 1st leg Scored 4 back second leg MA Goal disallowed Chelsea getting roped refereeing Will Do way better time
neutral,0.8580114245414734,Real Madrid vs Chelsea live stream watch champions league online tv channel choice time odds httpstcojSb5obJhpL
positive,0.7141420841217041,Can see Chelsea alright away probably respectful loss Its Stamford Bridge I think Madrid pick see nicely
neutral,0.7891788482666016,Godofrollover 21 Chelsea 11 Ac X Nap
negative,0.620286226272583,sammakokha game Chelsea got pressure af walai
neutral,0.8413876295089722,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f tuu
neutral,0.7323788404464722,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive dfse
neutral,0.8592004179954529,Tout sur Chelsea httpstcowlsHhV3ldg
neutral,0.7477723956108093,Chelsea SEVEN players yellow cards possibility available return leg next week pick another one tonight Meanwhile Real Madrid NO players yellow card How happen
positive,0.7620388865470886,Chelsea humble Madrid dream sha
neutral,0.3941501975059509,Chelsea
negative,0.45012640953063965,Chelsea go chop tonight
negative,0.9098466634750366,Chelsea fans sleeping happen minutes isnt good mental health
positive,0.8170225024223328,FrankKhalidUK My favorite footballers Chelsea
positive,0.5855957865715027,low key chelsea get chance
neutral,0.8092957735061646,Chelsea FC rep way httpstcoeNxJw8SLlN
neutral,0.8234881162643433,Confirmed matches today Real Madrid vs ChelseaLive Stream HD Milan vs Napoli Link httpstcoDXQNDqYaxD Follow Fctvlive stream update Please retweet follow RMACHE RealMadrid CFC UCL httpstcoTKZrIPg1qb
negative,0.9419392943382263,Been done Chelsea season honestly loosing Real Madrid would really suck
neutral,0.7401977777481079,Anyone wanna lock Champions league tdy I got CHELSEA AND NAPOLI
neutral,0.7642265558242798,ManlikeDika Sterling Real 2 Chelsea 1
negative,0.40642330050468445,plixun Ur playing Chelsea
neutral,0.8925325274467468,Bet9jaOfficial Madrid 2 2 Chelsea 9666088
positive,0.390604168176651,Dear God I dont ask much Mudryk Enzo first Chelsea goal Bernabu lights tonight would ideal
neutral,0.5864437818527222,Thomas Tuchel Graham Potter Bruno Saltor Frank Lampard Ngolo Kantes last four games 4 managers Chelsea Football Clubs season memorable one PulseSportsUGA httpstcoMYCFTSV8yD UCL httpstcoGQ8ICARaQo
neutral,0.8077954053878784,UCL 2023 En vivo Live Stream Live Link heregtgtUefalivefreehd 1 AC Milan vs Napoli Live 2 Real Madrid vs Chelsea Live UCL UEFA Champions League Retweet Like To Support US httpstcoUT4JC5YfH7
neutral,0.7258697152137756,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive dregter
neutral,0.7824066281318665,Come chelsea httpstcoF9p4W5szyj
negative,0.6054820418357849,I wont chelsea tears anything
negative,0.8125852942466736,HighHopesNC CFCJanty Hes playing today Unfortunately Chelsea deploying 5 people midfield Very defensive That means Enzo crowded midfield properly display character lets see
neutral,0.8578671216964722,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f 2332
negative,0.603242814540863,Chelsea wonder dont score Their line tonight 3 CBs 5 defense minded Midfielders two make shift Strikers
neutral,0.8495072722434998,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f
neutral,0.49456414580345154,I want chelsea city semis better httpstcozWIGXsHm7G
neutral,0.6748831272125244,I still chelsea fans httpstco4jvQAgxJPe
neutral,0.522490918636322,Common chelsea iamcaptainjerry
neutral,0.7129935026168823,CFCKaz6 Rudiger Hazard bench Madrid imagine telling Chelsea fan 2018
neutral,0.7988404631614685,Watch Real Madrid vs Chelsea Live Streams On Free httpstcogJ6DrlsRjl Follow httpstcogJ6DrlsRjl UEFA Champions League 2023 Quarter Finals AC Milan vs Nap Napoli vs AC Milan UCL RealMadrid ChelseaFC acmilankit httpstcoqflC4dzBe2
neutral,0.8746030926704407,New Overtime AMM position bought Real Madrid Chelsea Amount 5 Paid 3829 sUSD Position 12 Potential profit 1 sUSD 31
neutral,0.574417233467102,ChelseaFC I follow back every Chelsea fan follows ikegoriaku
neutral,0.7804694175720215,Gabrielgunner2 Chelsea win 12
neutral,0.8607766032218933,Real Madrid v Chelsea Over 25 Goals Stake 7u 210
neutral,0.8706369400024414,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f 890908
positive,0.49105167388916016,Chelseas winning today httpstcoE8O2DjEBjH
neutral,0.5523627996444702,Chelsea fans ready thrashing
neutral,0.8672977685928345,NjokiMuriraKE Real Madrid 2 Chelsea 0
neutral,0.4880428910255432,The First siuu happened USA Chelsea vs Real Madrid match Thus began iconic celebration sports history LIVE STREAM LINK 1 httpstco7yrkk3MCVV LINK 2 HD LIVE LINK httpstco7yrkk3MCVV httpstco9CtE4jzpaZ
positive,0.6563258171081543,Chelsea win 21 tonight
neutral,0.8041137456893921,ArewaFinext Mad 12 Chelsea
neutral,0.5178422927856445,Chelsea choosing start SIX defensive players response Ancelotti sure smelling comprehensive game RMACHE UCL httpstcoVRHnYkGSfd
negative,0.47352713346481323,Chelsea didnt pay 45m Ake last summer What Txiki thinking selling 100m player half price httpstcov23cAEIxwt
neutral,0.6398507952690125,Chelseas struggling 89m winger Mykhailo Mudryk told follow Vinicius Junior example become leader Stamford Bridge TRENDING NEWS NOW Authentic Sports News Read httpstcoLMnYfeAGF2 via myblogpay blogpay
neutral,0.835625171661377,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f uyyu
negative,0.5061573386192322,A reminder Kepa Gallagher James Koulibaly Mudryk Silva one yellow card away suspension cfc httpstcoowcLrD5NX2
neutral,0.5655584335327148,UniqueCilla Youre Chelsea fan
neutral,0.845954954624176,Real Madrid vs Chelsea Live Stream Link LIVE WATCH httpstcoigiL7xrqwV UCL RealMadrid Chelsea MatchdayLive RMACHE httpstcoJSSl7kWHpD
negative,0.4025276303291321,Oh lord In todays match please put enemies shame Remember power gave David defeat Goliath Give Chelsea power might tonight Oh lord
neutral,0.8374878168106079,Todays Matches Champions League Real Madrid vs Chelsea Milan vs Napoli If Stream Stops httpstco0Vom9VvMav Follow EPLTV08 To Update Stream httpstcou9mzVB1I2z
negative,0.41374966502189636,DanielJ1920 I would argue largely done years without success Utd done last 10 Chelsea without plan The rebuild along people think opinion People quick forget got us top smart recruitment
neutral,0.8314221501350403,Real Madrid vs Chelsea LIVE httpstcohoU3KKGWcz RMACHE UCL ChampionsLeague
neutral,0.8739181756973267,ParionsSport Real 12 Chelsea FreebetParionsSport
neutral,0.8495072722434998,LIVE Real Madrid vs Chelsea Munich Live Stream HD LINK httpstcofc23m1Qgck LINK httpstcofc23m1Qgck httpstcowBMMNzJu2F f
positive,0.4995400309562683,olakunlerufai TheHindsightPod Chelsea playing strong line way
neutral,0.7519318461418152,ChelseaCFP I
neutral,0.8201131224632263,greenlandodds Real Madrid 3 1 Chelsea
negative,0.6351738572120667,renew513 AnfieldWatch I know g I thought Jude signed sealed But FSG always cut us loose Best get multiple names LFC arent like Chelsea city spending mad 1 player Hopefully better days 2024
neutral,0.7926373481750488,DeadlineDayLive CatalunyaRadio Chelsea Dey rest
neutral,0.729737401008606,bxllyville Real Madrid 31 Chelsea
neutral,0.6565046906471252,Chelsea win 10k I stake game
